# t x y z vx vy vz omx omy omz llx lly llz Ixx Iyy Izz Ixy Iyz Ixz KErot PEspr PEgrav Etot dEdtnow
780.002 1.02648 1.80572 0.05830 -0.58976 0.32259 -0.01950 -8.1682e-02 -9.1833e-02 5.2181e-01 -2.8604e-05 -1.2467e-05 1.2450e-04 0.00021 0.00021 0.00024 -0.00004 0.00001 -0.00003 3.42243e-05 6.60053e-04 -2.2825756505e-04 4.6601983855e-04 9.8313396901e-10 
790.002 -0.02151 -2.02811 -0.02128 0.69169 -0.05380 0.02225 -1.0588e-01 -1.8672e-01 3.2842e-01 -3.2893e-05 -2.4084e-05 7.7197e-05 0.00024 0.00018 0.00024 -0.00001 0.00002 -0.00003 1.66661e-05 6.60075e-04 -2.2826743927e-04 4.4847374429e-04 9.3104874735e-10 
800.002 -0.29842 1.92215 0.02318 -0.71455 -0.13817 -0.02591 -8.6443e-02 1.5405e-01 2.5430e-01 -2.1772e-05 2.1576e-05 5.4138e-05 0.00027 0.00017 0.00022 0.00002 -0.00001 -0.00001 9.48647e-06 6.60414e-04 -2.2826982972e-04 4.4163076032e-04 9.0752059642e-10 
810.002 1.22046 -1.58893 0.03328 0.55428 0.42907 0.02738 1.5700e-01 -3.3028e-02 5.0855e-01 2.3291e-05 2.7936e-06 1.2980e-04 0.00022 0.00018 0.00026 0.00002 0.00001 -0.00002 3.47869e-05 6.60052e-04 -2.2825383807e-04 4.6658534121e-04 8.8575208186e-10 
820.002 -1.67688 0.99924 -0.06898 -0.35976 -0.62375 -0.01593 1.4327e-01 -1.1233e-01 2.0258e-01 2.7920e-05 -2.3128e-05 5.7233e-05 0.00017 0.00022 0.00027 0.00001 -0.00000 0.00002 9.09633e-06 6.60357e-04 -2.2827090498e-04 4.4118260767e-04 9.8784269605e-10 
830.002 2.06557 -0.32380 0.07508 0.10511 0.66057 0.00012 -1.4919e-01 -1.4049e-01 4.1351e-01 -3.7466e-05 -2.2585e-05 1.0722e-04 0.00019 0.00021 0.00026 0.00002 0.00002 -0.00001 2.65506e-05 6.60031e-04 -2.2826213616e-04 4.5831985121e-04 9.2002009146e-10 
840.002 -1.88742 -0.57381 -0.06733 0.17328 -0.68987 0.00288 -1.9524e-01 1.5552e-01 3.0863e-01 -4.1004e-05 4.4945e-05 8.5404e-05 0.00018 0.00022 0.00026 -0.00002 0.00002 -0.00001 2.06766e-05 6.60096e-04 -2.2826169361e-04 4.5251073266e-04 9.6617608382e-10 
850.002 1.65902 1.06020 0.07779 -0.40049 0.59509 -0.01224 7.2989e-02 1.0036e-01 2.4497e-01 2.0775e-05 1.7910e-05 6.1662e-05 0.00021 0.00021 0.00024 -0.00003 -0.00000 0.00004 9.20977e-06 6.60240e-04 -2.2827224540e-04 4.4117788319e-04 9.1278995383e-10 
860.002 -1.05766 -1.67258 -0.04091 0.60660 -0.36751 0.02663 1.6163e-01 -4.8993e-02 4.6704e-01 2.2290e-05 -1.8518e-05 1.1449e-04 0.00022 0.00019 0.00025 -0.00002 -0.00001 -0.00003 2.89904e-05 6.59985e-04 -2.2825862324e-04 4.6071633928e-04 9.1591399201e-10 
870.002 0.36549 1.97226 -0.00286 -0.69029 0.11322 -0.02450 -1.6552e-01 -1.3841e-01 2.7204e-01 -4.8038e-05 -2.3069e-05 6.8042e-05 0.00026 0.00017 0.00023 -0.00001 -0.00000 -0.00002 1.48271e-05 6.60217e-04 -2.2826659309e-04 4.4677706690e-04 9.9604577122e-10 
